trr_rd_no,statute,description,subject_no,trr_report_id
HZ226227,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295423.0,96475
HZ226282,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19295397.0,96476
HZ225956,520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19295319.0,96477
HZ225956,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19295319.0,96477
HZ225956,720 ILCS 5.0/24-1.8-A-1,UNLAW POSS OF FIREARM BY STREET GANG MEMBER ON PERSON,19295319.0,96477
HZ225956,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19295319.0,96477
HZ225956,520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19295319.0,96478
HZ225956,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19295319.0,96478
HZ225956,720 ILCS 5.0/24-1.8-A-1,UNLAW POSS OF FIREARM BY STREET GANG MEMBER ON PERSON,19295319.0,96478
HZ225956,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19295319.0,96478
HZ225956,520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19295330.0,96479
HZ225956,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19295330.0,96479
HZ225956,720 ILCS 5.0/24-1.8-A-1,UNLAW POSS OF FIREARM BY STREET GANG MEMBER ON PERSON,19295330.0,96479
HZ225956,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19295330.0,96479
HZ225956,520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19295330.0,96480
HZ225956,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19295330.0,96480
HZ225956,720 ILCS 5.0/24-1.8-A-1,UNLAW POSS OF FIREARM BY STREET GANG MEMBER ON PERSON,19295330.0,96480
HZ225956,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19295330.0,96480
HZ226477,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,0.0,96482
HZ226477,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,0.0,96482
HZ226535,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19295524.0,96483
HZ226535,720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE,19295524.0,96483
HZ226535,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19295524.0,96483
HZ226535,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19295524.0,96484
HZ226535,720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE,19295524.0,96484
HZ226535,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19295524.0,96484
HZ226535,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19295524.0,96485
HZ226535,720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE,19295524.0,96485
HZ226535,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19295524.0,96485
HZ226535,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19295524.0,96486
HZ226535,720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE,19295524.0,96486
HZ226535,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19295524.0,96486
HZ209569,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19295878.0,96487
HZ209569,720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,19295878.0,96487
HZ209569,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19295878.0,96487
HZ209569,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19295878.0,96487
HZ209569,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295878.0,96487
HZ209569,8-24-020,SALE OR POSSESSION OF DEADLY WEAPON,19295878.0,96487
HZ209569,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19295878.0,96489
HZ209569,720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,19295878.0,96489
HZ209569,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19295878.0,96489
HZ209569,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19295878.0,96489
HZ209569,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295878.0,96489
HZ209569,8-24-020,SALE OR POSSESSION OF DEADLY WEAPON,19295878.0,96489
HZ227332,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19295867.0,96490
HZ227332,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295867.0,96490
HZ227332,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19295867.0,96490
HZ227332,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19295867.0,96491
HZ227332,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295867.0,96491
HZ227332,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19295867.0,96491
HZ227449,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19295913.0,96492
HZ227449,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295913.0,96492
HZ227449,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19295913.0,96492
HZ227449,9-80-180,OBSTRUCTION OF TRAFFIC BY NON-MOTORIST,19295913.0,96492
HZ227449,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19295913.0,96493
HZ227449,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295913.0,96493
HZ227449,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19295913.0,96493
HZ227449,9-80-180,OBSTRUCTION OF TRAFFIC BY NON-MOTORIST,19295913.0,96493
HZ227677,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296025.0,96496
HZ227677,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296025.0,96496
HZ227677,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296025.0,96497
HZ227677,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296025.0,96497
HZ227763,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19295730.0,96498
HZ227763,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19295730.0,96498
HZ227763,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19295730.0,96498
HZ227763,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19295730.0,96499
HZ227763,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19295730.0,96499
HZ227763,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19295730.0,96499
HZ227821,720 ILCS 5.0/12-2-A,AGGRAVATED ASSAULT/PUBLIC PROP,19296130.0,96500
HZ227821,720 ILCS 5.0/18-3-A,VEHICULAR HIJACKING,19296130.0,96500
HZ227821,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296130.0,96500
HZ227821,720 ILCS 5.0/31-1A-A,DISARM PC OFFICER/CORR INST EMP,19296130.0,96500
HZ227821,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19296130.0,96500
HZ227821,720 ILCS 5.0/12-2-A,AGGRAVATED ASSAULT/PUBLIC PROP,19296130.0,96501
HZ227821,720 ILCS 5.0/18-3-A,VEHICULAR HIJACKING,19296130.0,96501
HZ227821,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296130.0,96501
HZ227821,720 ILCS 5.0/31-1A-A,DISARM PC OFFICER/CORR INST EMP,19296130.0,96501
HZ227821,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19296130.0,96501
HZ227821,720 ILCS 5.0/12-2-A,AGGRAVATED ASSAULT/PUBLIC PROP,19296130.0,96502
HZ227821,720 ILCS 5.0/18-3-A,VEHICULAR HIJACKING,19296130.0,96502
HZ227821,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296130.0,96502
HZ227821,720 ILCS 5.0/31-1A-A,DISARM PC OFFICER/CORR INST EMP,19296130.0,96502
HZ227821,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19296130.0,96502
HZ227944,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19296186.0,96503
HZ227944,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19296186.0,96503
HZ227944,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296186.0,96503
HZ227944,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19296189.0,96504
HZ227944,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19296189.0,96504
HZ227944,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296189.0,96504
HZ227955,625 ILCS 5.0/11-1427.4-3,ATTEMPT TO FLEE/ELUDE OFFICER,19296197.0,96506
HZ227955,625 ILCS 5.0/11-502-B,IVC - TRANSPORT/CARRY ALCOHOL LIQUOR/PASSENGER,19296197.0,96506
HZ227955,625 ILCS 5.0/11-801,IVC - IMPROPER TURN AT INTERSECTION,19296197.0,96506
HZ227955,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19296197.0,96506
HZ227955,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,19296197.0,96506
HZ227955,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19296197.0,96506
HZ227955,720 ILCS 5.0/24-1.1-A,UUW - WEAPON - FELON POSSES WEAPON/2ND+,19296197.0,96506
HZ227955,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296197.0,96506
HZ229069,625 ILCS 5.0/11-501-A-2,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,19296233.0,96508
HZ229069,625 ILCS 5.0/12-405-C,IVC - USE UNSAFE TIRE 1ST & 2ND,19296233.0,96508
HZ221121,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19296309.0,96509
HZ221121,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19296309.0,96509
HZ221121,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296309.0,96509
HZ221121,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19296309.0,96509
HZ221121,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296309.0,96509
HZ221121,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19296309.0,96509
HZ221121,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19296309.0,96510
HZ221121,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19296309.0,96510
HZ221121,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296309.0,96510
HZ221121,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19296309.0,96510
HZ221121,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296309.0,96510
HZ221121,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19296309.0,96510
HZ228501,625 ILCS 5.0/11-402-A,LEAVING THE SCENE,19296356.0,96511
HZ228501,625 ILCS 5.0/12-603.1,IVC - NOT WEARING SEAT BELT/DRIVER,19296356.0,96511
HZ228501,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19296356.0,96511
HZ228501,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296356.0,96511
HZ228501,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296356.0,96511
HZ228501,9-40-130,OBSTRUCTION OF TRAFFIC BY MOTORIST,19296356.0,96511
HZ228501,625 ILCS 5.0/11-402-A,LEAVING THE SCENE,19296356.0,96512
HZ228501,625 ILCS 5.0/12-603.1,IVC - NOT WEARING SEAT BELT/DRIVER,19296356.0,96512
HZ228501,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19296356.0,96512
HZ228501,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296356.0,96512
HZ228501,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296356.0,96512
HZ228501,9-40-130,OBSTRUCTION OF TRAFFIC BY MOTORIST,19296356.0,96512
HZ228501,625 ILCS 5.0/11-402-A,LEAVING THE SCENE,19296356.0,96513
HZ228501,625 ILCS 5.0/12-603.1,IVC - NOT WEARING SEAT BELT/DRIVER,19296356.0,96513
HZ228501,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19296356.0,96513
HZ228501,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296356.0,96513
HZ228501,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296356.0,96513
HZ228501,9-40-130,OBSTRUCTION OF TRAFFIC BY MOTORIST,19296356.0,96513
HZ228501,625 ILCS 5.0/11-402-A,LEAVING THE SCENE,19296356.0,96514
HZ228501,625 ILCS 5.0/12-603.1,IVC - NOT WEARING SEAT BELT/DRIVER,19296356.0,96514
HZ228501,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19296356.0,96514
HZ228501,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296356.0,96514
HZ228501,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296356.0,96514
HZ228501,9-40-130,OBSTRUCTION OF TRAFFIC BY MOTORIST,19296356.0,96514
HZ228611,10-8-515,SOLICITING UNLAWFUL BUSINESS,19296377.0,96515
HZ228611,720 ILCS 5.0/24-1.6-A-1,AGG UUW/VEHICLE/LOADED FIREARM,19296377.0,96515
HZ228611,720 ILCS 5.0/24-1.6-A-2,AGG UUW/PERSON/<21            ,19296377.0,96515
HZ228611,720 ILCS 5.0/24-5-B,POSS FIREARM W/DEFACED SERIAL NUMBER,19296377.0,96515
HZ228501,625 ILCS 5.0/11-402-A,LEAVING THE SCENE,19296356.0,96516
HZ228501,625 ILCS 5.0/12-603.1,IVC - NOT WEARING SEAT BELT/DRIVER,19296356.0,96516
HZ228501,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19296356.0,96516
HZ228501,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296356.0,96516
HZ228501,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296356.0,96516
HZ228501,9-40-130,OBSTRUCTION OF TRAFFIC BY MOTORIST,19296356.0,96516
HZ227800,2-84-300-A,RESISTING POLICE OFFICER OR AIDING ESCAPE,19296380.0,96517
HZ227800,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19296380.0,96517
HZ227800,2-84-300-A,RESISTING POLICE OFFICER OR AIDING ESCAPE,19296380.0,96518
HZ227800,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19296380.0,96518
HZ228744,720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND   ,19296460.0,96519
HZ228744,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296460.0,96519
HZ228744,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19296460.0,96519
HZ228744,720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND   ,19296460.0,96520
HZ228744,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296460.0,96520
HZ228744,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19296460.0,96520
HZ229182,625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,19296683.0,96521
HZ229182,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19296683.0,96521
HZ229182,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296683.0,96521
HZ229182,9-76-050(C),"LIGHT, TAIL LIGHTS REQUIRED",19296683.0,96521
HZ229182,9-8-020(C)(1),DISOBEY RED CIRCULAR STEADY SIGNAL STOP,19296683.0,96521
HZ229182,625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,19296683.0,96522
HZ229182,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19296683.0,96522
HZ229182,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296683.0,96522
HZ229182,9-76-050(C),"LIGHT, TAIL LIGHTS REQUIRED",19296683.0,96522
HZ229182,9-8-020(C)(1),DISOBEY RED CIRCULAR STEADY SIGNAL STOP,19296683.0,96522
HZ229252,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19296706.0,96523
HZ229252,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,19296706.0,96523
HZ229279,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19296719.0,96524
HZ229896,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19296929.0,96530
HZ229896,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296929.0,96530
HZ229896,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19296929.0,96530
HZ229796,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19296929.0,96531
HZ229796,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296929.0,96531
HZ229796,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19296929.0,96531
HZ229896,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19296929.0,96532
HZ229896,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296929.0,96532
HZ229896,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19296929.0,96532
HZ229896,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19296929.0,96533
HZ229896,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296929.0,96533
HZ229896,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19296929.0,96533
HZ230318,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19297120.0,96537
HZ230318,720 ILCS 5.0/24-1.6-A-1,AGG UUW/LOADED-NO FCCA-FOID,19297120.0,96537
HZ230318,720 ILCS 5.0/24-5-B,POSS FIREARM W/DEFACED SERIAL NUMBER,19297120.0,96537
HZ230318,720 ILCS 5.0/25-5-A-4,STREETGANG CONTACT/PAROLE,19297120.0,96537
HZ230318,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19297120.0,96537
HZ230318,8-26-030-A,INITIAL GUN OFFENDER REGISTRATION,19297120.0,96537
HZ230318,8-4-030,DRINKING ALCOHOL ON THE PUBLIC WAY,19297120.0,96537
HZ230307,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19297127.0,96538
HZ230307,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19297127.0,96538
HZ230307,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19297127.0,96538
HZ230307,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19297127.0,96538
HZ230307,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19297127.0,96538
HZ230363,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19297161.0,96540
HZ230363,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19297161.0,96540
HZ231300,2-84-300-A,RESISTING POLICE OFFICER OR AIDING ESCAPE,19297485.0,96545
HZ231300,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19297485.0,96545
HZ231405,720 ILCS 5.0/24-1.6-A-2,AGG UUW/ON PERSON,19297530.0,96546
HZ231405,720 ILCS 5.0/24-5-B,POSS FIREARM W/DEFACED SERIAL NUMBER,19297530.0,96546
HZ231405,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19297530.0,96546
HZ231560,720 ILCS 5.0/12-3.05-D-6,AGG BATTERY/GOVERNMENT EMP,19297625.0,96547
HZ231560,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19297625.0,96547
HZ231604,720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE,19297670.0,96548
HZ231604,720 ILCS 5.0/21-3-A-1,CRIMINAL TRESPASS TO REAL PROPERTY,19297670.0,96548
HZ231604,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19297670.0,96548
